Date,Open,High,Low,Close,Volume
2021-12-16,398.93,399.68,395.19,397.68,94125586
2021-12-17,394.46,399.02,394.26,398.96,134697578
2021-12-20,396.42,396.61,390.92,391.37,97270477
2021-12-21,394.35,395.28,391.19,393.95,105997690
2021-12-22,396.82,398.06,394.77,396.07,100313358
2021-12-23,397.98,398.36,395.71,398.15,105281612
2021-12-24,399.72,402.46,399.66,400.53,102503125
2021-12-27,400.61,401.07,398.31,398.61,103635956
2021-12-28,399.56,401.21,397.24,401.21,169712212
2021-12-29,398.74,399.16,395.85,396.72,169048470
2021-12-30,397.13,398.59,393.89,394.19,103887032
2022-01-03,397.16,399.44,394.26,395.51,97581473
2022-01-04,396.01,396.71,393.35,395.4,117160885
2022-01-05,394.91,395.2,387.56,390.39,175488530
2022-01-06,386.59,390.51,385.3,386.22,152386576
2022-01-07,388.3,391.75,388.06,390.85,114276571
2022-01-10,389.68,390.24,384.79,387.52,139103010
2022-01-11,388.32,390.43,386.26,388.97,133428702
2022-01-12,392.29,394.87,391.96,394.66,210105987
2022-01-13,395.68,395.93,392.52,393.0,151714327
2022-01-14,389.66,390.81,386.25,387.45,146048033
2022-01-17,387.0,387.33,381.56,383.81,135817575
2022-01-18,385.07,385.63,379.79,381.01,127939028
2022-01-19,377.75,381.91,376.74,378.21,126170181
2022-01-20,377.97,380.45,376.49,380.39,114098651
2022-01-21,376.74,377.69,373.35,376.08,134237431
2022-01-24,374.64,375.45,369.63,371.3,112639984
2022-01-25,370.3,370.73,359.85,362.39,142181165
2022-01-26,363.72,365.31,360.47,360.83,109342528
2022-01-27,360.83,363.11,348.55,348.58,158318286
2022-01-28,350.29,358.84,347.28,357.98,146975846
2022-02-03,364.07,366.13,361.6,361.6,125482179
2022-02-04,363.1,366.79,361.84,366.34,109788153
2022-02-07,365.4,365.4,359.59,362.92,135534006
2022-02-08,365.91,367.32,360.78,363.48,133105733
2022-02-09,367.02,368.65,365.79,368.65,117910162
2022-02-10,371.84,372.86,369.3,371.57,180487876
2022-02-11,367.54,371.35,366.9,368.61,161469119
2022-02-14,364.36,365.97,360.46,362.98,146971729
2022-02-15,364.44,364.79,358.75,360.43,140833154
2022-02-16,365.96,367.66,364.64,367.3,108436280
2022-02-17,368.11,373.03,365.48,369.55,209730967
2022-02-18,365.57,369.32,364.69,368.55,137053118
2022-02-21,362.83,368.75,361.14,368.29,109544039
2022-02-22,362.93,364.81,360.74,363.51,162875958
2022-02-23,366.25,366.58,362.39,364.44,139928097
2022-02-24,360.05,360.77,354.01,355.04,167277164
2022-02-25,358.79,360.85,357.02,358.44,154972994
2022-02-28,356.59,361.54,355.77,361.54,237317520
2022-03-02,361.52,362.81,359.89,360.59,170944083
2022-03-03,364.37,367.4,363.99,367.06,167176676
2022-03-04,365.35,365.54,360.19,361.69,237190017
2022-03-07,356.59,356.59,351.91,353.03,193155373
2022-03-08,348.12,352.82,346.85,349.38,185897543
2022-03-10,354.33,358.27,354.33,358.01,212652188
