ID,height(cm),weight(kg)
user_1,173.0,67.5
user_2,149.5,82.5
user_3,143.8,64.6
user_4,163.1,87.2
user_5,159.6,77.1
user_6,158.5,104.6
user_7,149.0,102.9
user_8,158.9,72.7
user_9,166.8,82.8
user_10,160.1,68.8
user_11,143.5,91.4
user_12,135.2,83.4
user_13,162.8,85.4
user_14,154.2,73.3
user_15,163.0,68.9
user_16,137.6,99.8
user_17,139.8,101.5
user_18,159.9,72.8
user_19,153.0,68.9
user_20,141.8,61.5
user_21,153.0,98.2
user_22,147.4,74.4
user_23,138.3,93.8
user_24,162.2,91.1
user_25,131.4,105.8
user_26,148.5,93.2
user_27,165.1,86.7
user_28,141.5,79.5
user_29,171.3,62.6
user_30,174.3,99.6
user_31,136.2,79.9
user_32,160.7,68.0
user_33,165.1,103.4
user_34,154.9,82.4
user_35,172.0,85.6
user_36,170.0,61.6
user_37,167.5,72.6
user_38,157.9,107.8
user_39,151.4,72.4
user_40,173.8,72.5
user_41,166.3,79.7
user_42,166.1,100.1
user_43,155.5,69.7
user_44,169.2,79.1
user_45,166.7,85.5
user_46,178.6,72.9
user_47,159.6,97.0
user_48,181.9,82.4
user_49,165.0,98.3
user_50,164.7,72.2
user_51,184.1,88.5
user_52,131.8,98.4
user_53,159.4,78.7
user_54,133.1,89.5
user_55,158.8,95.8
user_56,153.6,90.5
user_57,150.7,67.2
user_58,149.2,97.2
user_59,132.4,72.7
user_60,154.5,60.4
user_61,134.5,89.0
user_62,150.5,65.9
user_63,177.6,91.4
user_64,172.9,74.3
user_65,136.4,100.0
user_66,138.7,66.4
user_67,178.4,77.2
user_68,151.3,79.1
user_69,145.0,79.6
user_70,167.9,93.3
user_71,170.1,83.5
user_72,174.9,105.9
user_73,138.5,71.3
user_74,175.9,72.8
user_75,150.3,100.8
user_76,137.9,78.4
user_77,155.6,75.7
user_78,161.7,105.0
user_79,189.0,70.5
user_80,154.0,85.7
user_81,165.3,73.2
user_82,157.3,66.4
user_83,130.4,87.7
user_84,182.0,64.0
user_85,183.4,94.6
user_86,136.0,82.4
user_87,141.8,82.4
user_88,143.5,85.9
user_89,143.4,94.7
user_90,133.6,66.9
user_91,151.1,60.1
user_92,154.1,68.6
user_93,144.4,86.8
user_94,135.1,74.7
user_95,172.1,78.8
user_96,170.8,69.4
user_97,158.6,78.1
user_98,146.9,83.0
user_99,168.8,85.3
user_100,149.2,81.7
user_101,142.6,71.8
user_102,145.2,97.3
user_103,174.9,102.0
user_104,143.2,93.3
user_105,161.8,93.2
user_106,150.1,69.6
user_107,146.7,94.4
user_108,133.7,62.8
user_109,153.1,84.4
user_110,161.4,79.8
user_111,171.2,93.0
user_112,181.4,95.0
user_113,136.5,101.8
user_114,162.9,79.6
user_115,133.6,66.9
user_116,177.5,61.4
user_117,163.7,87.7
user_118,159.4,73.3
user_119,132.7,94.4
user_120,141.0,83.0
user_121,154.8,86.2
user_122,135.3,107.8
user_123,133.4,73.2
user_124,164.8,105.4
user_125,150.1,86.6
user_126,157.9,99.1
user_127,169.0,64.1
user_128,173.3,61.1
user_129,166.0,81.0
user_130,189.8,83.5
user_131,132.3,70.8
user_132,152.7,105.5
user_133,136.4,76.6
user_134,183.8,78.8
user_135,145.1,70.8
user_136,183.7,94.6
user_137,130.4,80.5
user_138,169.0,91.9
user_139,151.1,79.0
user_140,159.3,88.0
user_141,170.2,101.8
user_142,143.0,68.9
user_143,160.7,77.6
user_144,156.9,66.5
user_145,147.3,84.4
user_146,189.8,85.3
user_147,148.4,79.7
user_148,168.2,69.7
user_149,148.8,70.3
user_150,151.6,78.0
user_151,156.8,69.6
user_152,135.3,66.7
user_153,144.5,105.7
user_154,137.0,94.9
user_155,172.8,98.9
user_156,157.0,69.7
user_157,151.7,105.3
user_158,134.8,87.9
user_159,186.5,92.0
user_160,135.1,89.7
user_161,144.9,77.7
user_162,145.1,107.6
user_163,141.6,104.0
user_164,154.5,91.1
user_165,135.6,85.9
user_166,140.4,81.5
user_167,179.0,70.0
user_168,148.5,68.7
user_169,147.0,86.4
user_170,158.4,99.9
user_171,166.7,74.2
user_172,164.1,78.6
user_173,145.0,76.3
user_174,158.5,69.9
user_175,145.3,71.8
user_176,179.3,103.8
user_177,149.4,87.2
user_178,174.9,62.5
user_179,172.1,89.9
user_180,148.2,89.3
user_181,134.4,85.5
user_182,141.3,79.5
user_183,135.1,70.8
user_184,179.4,70.7
user_185,152.8,97.0
user_186,170.9,92.1
user_187,155.0,90.3
user_188,163.1,70.1
user_189,149.4,100.3
user_190,142.5,100.0
user_191,132.0,93.6
user_192,149.6,88.4
user_193,151.3,78.7
user_194,146.8,81.0
user_195,152.7,107.7
user_196,149.8,99.3
user_197,135.1,105.9
user_198,178.6,79.5
user_199,133.3,65.5
user_200,154.1,84.7
user_201,153.0,102.3
user_202,133.7,100.3
user_203,162.0,73.1
user_204,161.0,64.1
user_205,188.7,95.3
user_206,179.8,63.9
user_207,179.7,92.6
user_208,147.5,88.3
user_209,163.0,94.7
user_210,172.6,65.4
user_211,151.5,66.8
user_212,178.5,73.5
user_213,168.8,84.0
user_214,175.6,88.0
user_215,150.5,107.6
user_216,144.7,72.6
user_217,138.4,67.6
user_218,160.2,68.3
user_219,141.8,93.5
user_220,133.7,65.2
user_221,135.9,84.3
user_222,152.2,77.8
user_223,133.8,74.7
user_224,144.4,99.4
user_225,176.2,80.0
user_226,134.8,100.3
user_227,142.0,100.1
user_228,142.6,73.5
user_229,176.3,87.4
user_230,186.7,75.4
user_231,162.7,87.4
user_232,150.8,73.6
user_233,148.1,68.2
user_234,160.3,61.8
user_235,151.0,106.4
user_236,170.8,92.6
user_237,173.8,105.6
user_238,130.9,93.0
user_239,133.8,80.3
user_240,150.0,106.1
user_241,147.1,90.1
user_242,132.4,82.6
user_243,152.0,64.3
user_244,152.5,77.9
user_245,157.8,63.4
user_246,160.8,81.4
user_247,166.4,94.8
user_248,177.7,62.0
user_249,137.2,95.8
user_250,178.4,86.7
user_251,161.3,95.0
user_252,144.2,83.4
user_253,148.0,89.3
user_254,153.6,107.5
user_255,136.8,91.8
user_256,137.2,62.8
user_257,176.2,107.6
user_258,142.1,69.3
user_259,173.4,100.7
user_260,158.6,101.6
user_261,143.3,86.3
user_262,156.1,78.9
user_263,146.6,97.8
user_264,173.2,70.4
user_265,137.3,63.2
user_266,161.7,76.0
user_267,130.4,98.2
user_268,163.7,87.2
user_269,140.5,71.4
user_270,135.6,99.7
user_271,144.9,98.4
user_272,154.6,68.0
user_273,137.0,85.0
user_274,155.1,77.1
user_275,180.3,87.1
user_276,169.5,88.1
user_277,157.5,67.0
user_278,149.5,75.4
user_279,131.0,91.3
user_280,133.6,72.9
user_281,134.7,74.9
user_282,157.9,86.5
user_283,158.8,68.1
user_284,149.0,104.2
user_285,175.7,78.2
user_286,149.7,93.9
user_287,164.9,84.6
user_288,172.4,69.2
user_289,136.4,85.2
user_290,153.6,70.3
user_291,142.1,91.0
user_292,151.7,94.4
user_293,139.5,76.7
user_294,149.8,69.6
user_295,159.2,63.0
user_296,163.4,85.8
user_297,145.9,81.4
user_298,132.0,85.2
user_299,155.0,90.2
user_300,147.2,109.9
user_301,151.2,71.8
user_302,155.2,63.5
user_303,182.4,93.3
user_304,145.9,87.5
user_305,136.0,87.5
user_306,168.8,60.5
user_307,151.9,88.7
user_308,154.3,94.2
user_309,142.2,69.2
user_310,140.5,64.9
user_311,173.2,86.0
user_312,147.0,79.5
user_313,140.5,95.0
user_314,151.8,72.5
user_315,135.3,85.8
user_316,163.7,63.3
user_317,151.2,101.1
user_318,130.9,96.0
user_319,138.8,71.8
user_320,140.2,98.1
user_321,182.4,102.2
user_322,151.6,88.6
user_323,153.3,87.0
user_324,173.5,87.1
user_325,155.5,63.2
user_326,161.4,61.4
user_327,150.3,77.0
user_328,141.3,86.4
user_329,141.1,81.7
user_330,149.9,71.2
user_331,149.1,74.6
user_332,155.3,76.9
user_333,180.3,67.3
user_334,141.4,70.3
user_335,157.4,65.4
user_336,161.1,73.3
user_337,160.0,75.8
user_338,147.5,68.9
user_339,138.3,85.9
user_340,145.7,80.9
user_341,175.7,63.3
user_342,141.9,63.3
user_343,161.3,95.3
user_344,182.7,67.0
user_345,139.0,97.9
user_346,140.0,77.6
user_347,179.6,91.3
user_348,141.0,89.7
user_349,171.5,71.9
user_350,162.8,91.7
user_351,169.7,90.7
user_352,147.5,83.3
user_353,144.9,99.0
user_354,152.3,78.7
user_355,167.9,88.1
user_356,143.6,76.0
user_357,164.6,60.2
user_358,146.3,81.2
user_359,145.3,82.1
user_360,158.8,65.1
user_361,153.5,95.9
user_362,149.7,77.3
user_363,159.7,109.4
user_364,141.2,85.8
user_365,144.5,78.3
user_366,183.0,97.7
user_367,138.1,60.3
user_368,141.1,68.7
user_369,162.5,100.8
user_370,153.6,98.4
user_371,140.6,75.8
user_372,166.1,102.1
user_373,140.2,76.9
user_374,156.2,70.7
user_375,139.7,84.3
user_376,164.8,96.8
user_377,160.4,87.8
user_378,143.0,95.5
user_379,165.2,102.1
user_380,131.2,96.9
user_381,167.8,89.2
user_382,141.6,75.7
user_383,150.9,67.2
user_384,159.9,80.3
user_385,170.9,97.1
user_386,179.8,102.6
user_387,134.3,76.1
user_388,142.0,82.3
user_389,138.4,87.6
user_390,152.9,101.1
user_391,176.6,66.0
user_392,155.1,69.5
user_393,173.1,82.6
user_394,152.0,64.7
user_395,146.9,90.2
user_396,165.2,84.9
user_397,167.1,70.8
user_398,134.1,91.5
user_399,169.0,74.5
user_400,173.0,77.1
user_401,169.8,66.7
user_402,133.3,108.7
user_403,133.3,93.9
user_404,177.6,79.8
user_405,166.0,69.9
user_406,149.0,106.4
user_407,155.8,92.8
user_408,173.0,88.4
user_409,164.2,66.9
user_410,162.2,100.5
user_411,145.3,68.3
user_412,173.8,87.6
user_413,160.4,101.7
user_414,171.0,88.6
user_415,164.8,96.7
user_416,153.3,62.4
user_417,169.3,91.0
user_418,168.9,84.2
user_419,143.6,101.4
user_420,176.6,88.8
user_421,149.2,82.5
user_422,164.3,78.3
user_423,133.1,78.7
user_424,175.7,70.1
user_425,133.6,101.5
user_426,148.6,95.0
user_427,137.8,81.0
user_428,154.4,73.2
user_429,154.1,75.5
user_430,164.7,83.7
user_431,181.7,87.1
user_432,150.8,66.1
user_433,141.4,83.6
user_434,135.4,68.1
user_435,168.2,95.3
user_436,138.1,104.5
user_437,143.1,69.9
user_438,167.5,91.0
user_439,175.3,67.4
user_440,140.2,72.4
user_441,149.7,88.2
user_442,169.5,88.8
user_443,133.3,70.7
user_444,138.7,75.5
user_445,131.4,63.4
user_446,156.2,94.0
user_447,176.1,91.5
user_448,175.9,84.0
user_449,165.0,75.2
user_450,168.8,65.8
user_451,156.4,72.0
user_452,138.7,74.4
user_453,166.3,85.2
user_454,152.7,66.9
user_455,160.6,84.2
user_456,168.8,93.0
user_457,143.9,85.9
user_458,163.4,64.1
user_459,140.3,73.8
user_460,135.6,66.7
user_461,164.3,62.1
user_462,173.6,103.5
user_463,154.9,65.2
user_464,176.5,65.8
user_465,133.1,104.4
user_466,141.0,62.0
user_467,171.8,84.9
user_468,136.1,96.0
user_469,180.7,61.3
user_470,146.0,85.2
user_471,170.7,88.7
user_472,153.0,97.7
user_473,174.7,89.0
user_474,168.3,67.4
user_475,143.3,95.4
user_476,135.5,74.6
user_477,155.1,67.0
user_478,153.9,98.5
user_479,159.2,82.5
user_480,164.1,87.6
user_481,144.4,98.5
user_482,157.0,73.4
user_483,174.1,75.0
user_484,147.9,101.4
user_485,161.9,79.5
user_486,157.8,95.6
user_487,151.5,85.1
user_488,157.1,80.6
user_489,151.3,67.4
user_490,173.1,61.5
user_491,166.1,69.0
user_492,135.2,93.1
user_493,170.2,60.6
user_494,152.4,87.6
user_495,189.0,72.0
user_496,137.7,108.8
user_497,170.4,78.4
user_498,135.9,78.1
user_499,150.6,80.3
user_500,159.2,79.1
user_501,133.5,107.9
user_502,135.0,80.9
user_503,146.7,86.3
user_504,159.3,84.7
user_505,154.8,93.8
user_506,144.6,106.1
user_507,141.4,85.0
user_508,164.6,83.3
user_509,176.2,102.9
user_510,150.8,77.1
user_511,158.0,104.8
user_512,175.1,60.6
user_513,186.5,87.3
user_514,153.3,87.6
user_515,174.6,80.9
user_516,147.3,71.4
user_517,181.9,69.7
user_518,182.6,108.5
user_519,155.2,71.2
user_520,170.1,109.5
user_521,134.0,73.6
user_522,153.4,64.6
user_523,159.0,100.2
user_524,141.2,105.8
user_525,143.9,68.9
user_526,158.3,85.0
user_527,154.7,101.3
user_528,154.9,109.0
user_529,149.1,68.6
user_530,139.3,69.6
user_531,176.4,99.1
user_532,134.2,63.5
user_533,152.4,86.8
user_534,172.8,68.2
user_535,152.9,93.6
user_536,136.9,74.3
user_537,132.8,82.0
user_538,151.6,63.7
user_539,171.1,79.1
user_540,174.2,92.3
user_541,187.7,72.1
user_542,179.8,109.0
user_543,151.8,92.3
user_544,141.4,72.8
user_545,151.9,84.9
user_546,164.5,83.3
user_547,147.8,66.7
user_548,154.7,69.8
user_549,169.2,93.7
user_550,165.2,97.4
user_551,150.1,99.1
user_552,135.3,97.5
user_553,175.8,80.0
user_554,147.1,96.5
user_555,131.0,90.4
user_556,160.5,70.5
user_557,164.3,70.2
user_558,171.7,79.7
user_559,168.4,66.4
