학교명,시도,학교세부유형,일반학급_학생수_계,교원수_총계_계
서울대학교사범대학부설고등학교,서울,일반고등학교,689,73
가락고등학교,서울,일반고등학교,765,70
개포고등학교,서울,일반고등학교,684,69
경기고등학교,서울,일반고등학교,1047,96
경동고등학교,서울,일반고등학교,529,58
경복고등학교,서울,일반고등학교,571,77
경인고등학교,서울,일반고등학교,1079,96
고척고등학교,서울,일반고등학교,739,71
공항고등학교,서울,일반고등학교,629,62
관악고등학교,서울,일반고등학교,732,64
광남고등학교,서울,일반고등학교,1059,95
광양고등학교,서울,일반고등학교,484,52
구로고등학교,서울,일반고등학교,933,73
구일고등학교,서울,일반고등학교,737,64
압구정고등학교,서울,일반고등학교,543,72
금천고등학교,서울,일반고등학교,670,68
당곡고등학교,서울,일반고등학교,740,66
대영고등학교,서울,일반고등학교,739,73
독산고등학교,서울,일반고등학교,576,60
동작고등학교,서울,일반고등학교,698,67
둔촌고등학교,서울,일반고등학교,648,67
면목고등학교,서울,일반고등학교,604,65
반포고등학교,서울,일반고등학교,739,80
삼성고등학교,서울,일반고등학교,292,42
상계고등학교,서울,일반고등학교,719,68
서울고등학교,서울,일반고등학교,1210,102
서초고등학교,서울,일반고등학교,784,82
석관고등학교,서울,일반고등학교,698,65
성동고등학교,서울,일반고등학교,430,51
수락고등학교,서울,일반고등학교,526,58
신림고등학교,서울,일반고등학교,480,51
신목고등학교,서울,일반고등학교,1098,100
양재고등학교,서울,일반고등학교,846,75
언남고등학교,서울,일반고등학교,606,71
여의도고등학교,서울,일반고등학교,736,75
영등포고등학교,서울,일반고등학교,535,57
영신고등학교,서울,일반고등학교,626,66
오금고등학교,서울,일반고등학교,814,68
노원고등학교,서울,일반고등학교,554,62
용산고등학교,서울,일반고등학교,800,90
인헌고등학교,서울,일반고등학교,437,51
자양고등학교,서울,일반고등학교,865,80
잠신고등학교,서울,일반고등학교,678,70
잠실고등학교,서울,일반고등학교,556,65
중경고등학교,서울,일반고등학교,366,53
중화고등학교,서울,일반고등학교,539,54
창동고등학교,서울,일반고등학교,1039,97
청담고등학교,서울,일반고등학교,497,73
청량고등학교,서울,일반고등학교,818,80
태릉고등학교,서울,일반고등학교,722,63
경기여자고등학교,서울,일반고등학교,1082,102
금옥여자고등학교,서울,일반고등학교,722,65
명일여자고등학교,서울,일반고등학교,569,66
무학여자고등학교,서울,일반고등학교,513,66
서울여자고등학교,서울,일반고등학교,791,68
수도여자고등학교,서울,일반고등학교,805,76
여의도여자고등학교,서울,일반고등학교,545,59
영등포여자고등학교,서울,일반고등학교,460,55
창덕여자고등학교,서울,일반고등학교,435,71
혜화여자고등학교,서울,일반고등학교,631,60
누원고등학교,서울,일반고등학교,400,49
방산고등학교,서울,일반고등학교,781,80
신현고등학교,서울,일반고등학교,621,62
자운고등학교,서울,일반고등학교,673,64
도봉고등학교,서울,일반고등학교,60,22
등촌고등학교,서울,일반고등학교,505,60
경일고등학교,서울,일반고등학교,338,47
선유고등학교,서울,일반고등학교,540,52
월계고등학교,서울,일반고등학교,494,60
불암고등학교,서울,일반고등학교,780,80
세현고등학교,서울,일반고등학교,453,56
신서고등학교,서울,일반고등학교,554,61
효문고등학교,서울,일반고등학교,463,54
원묵고등학교,서울,일반고등학교,634,57
상암고등학교,서울,일반고등학교,829,78
구현고등학교,서울,일반고등학교,733,67
문정고등학교,서울,일반고등학교,709,62
