범죄분류,절도,사기,배임,방화,폭행
2018년_1월,13280,25318,656,143,12186
2018년_2월,12504,19159,403,135,12087
2018년_3월,14733,24509,471,148,13841
2018년_4월,14781,23147,414,135,13973
2018년_5월,15988,23584,451,127,14117
2018년_6월,15744,23001,453,110,14362
2018년_7월,16140,24990,632,98,14339
2018년_8월,16327,24463,434,102,14824
2018년_9월,16091,22073,486,130,15256
2018년_10월,15122,21769,531,107,13286
2018년_11월,13568,23829,398,118,12386
2018년_12월,13180,22724,459,125,13843
2019년_1월,14492,27620,678,129,12043
2019년_2월,13303,21671,360,107,10893
2019년_3월,15910,28432,524,114,13136
2019년_4월,15305,27125,478,138,13322
2019년_5월,17333,27766,509,131,14572
2019년_6월,16937,25822,491,101,15285
2019년_7월,16777,26644,562,111,15180
2019년_8월,17128,26896,432,104,14876
2019년_9월,16487,24459,497,106,14745
2019년_10월,16487,26421,528,114,13904
2019년_11월,14420,26138,468,91,11864
2019년_12월,13050,24599,469,99,12095
